id,first_name_vendor,last_name_vendor,code_vendor,article,article_value
a11e344b-1477-4c02-ad33-d595f0eea2e0,Afton,Brakewell,SXL,"Arctic Char - Fresh, Whole",$974998.20
49324543-e12f-45e6-af29-69bbd05a1f5a,Fanni,Dwight,PEY,Salmon Steak - Cohoe 8 Oz,$40922.55
ec069271-ab25-4417-8dfa-8a77b93933ca,Nikki,Ivanenko,BSO,"Ice - Clear, 300 Lb For Carving",$886294.91
474d054a-0031-457d-9490-b395cb9b4914,Andy,Simionato,BWJ,Potatoes - Parissienne,$655155.93
17f191cf-23df-4d9a-8365-256b905db009,Darbie,Burhouse,YZH,Shrimp - Tiger 21/25,$105481.79
55efcbe6-35f6-45d0-813f-fa44f70101c3,Philbert,Sandlin,POY,Wine - Placido Pinot Grigo,$492156.58
a6bd8e5c-fd65-4d82-9ab0-7ee7e5dd01b2,Silas,O'Shirine,ZER,Dill Weed - Dry,$619954.10
1a357140-6a15-4e66-9370-92bd9b869d65,Tabb,O' Mahony,ZJI,Bagel - Ched Chs Presliced,$69853.17
a5149b39-64f5-48ee-b927-1ed4ea3ac002,Collie,Entwisle,EMP,"Yogurt - Cherry, 175 Gr",$810883.59
a4fd280a-78d8-4a3a-8ba5-8c726b104ca9,Alaric,Middleditch,HEE,Kahlua,$866529.01
4265f67d-8ae7-4b08-96bd-f3718dbc82d9,Mechelle,Clemon,SWX,Icecream - Dstk Strw Chseck,$888806.36
ce4be088-f992-49b5-86d5-e20982d19cd8,Ceil,Galea,KND,Pastry - Lemon Danish - Mini,$68739.76
e277b7d8-deb3-445c-be74-09791d8b923c,Hope,Dye,PST,Bread - Kimel Stick Poly,$971671.12
10cfa6b4-8442-4f51-8c4c-086c7f290f0c,Gertrudis,Daunay,HUB,Soap - Pine Sol Floor Cleaner,
a315d5cc-07d6-406f-80ab-f21e732435a5,Glynis,Lillecrop,ACJ,Daves Island Stinger,$569514.24
01a54290-15e8-4d80-ae02-9a16ad74c5d8,Ailene,Chubb,LBZ,"Lamb - Leg, Boneless",$184241.97
a219b85b-20d5-4f0d-a7b2-3575defec95e,Rollo,Reynard,OLR,Beer - True North Lager,$669796.40
d14180e5-684a-4a45-a7fe-2c2099b70444,Alejandrina,Bracco,RDG,Beef - Tenderloin,$766890.31
7acd746f-8b6c-42af-a559-a5765c160c3d,Shannen,Gladbach,PPF,Orange - Tangerine,$328205.94
b7619a1d-32e6-4585-8180-f97790bb8c81,Dallis,Audibert,UET,Bread - Rye,
d4204da0-206c-4289-afc2-16cd3670e2c5,Blane,Kinsley,THD,"Shrimp - 21/25, Peel And Deviened",$500246.14
23640613-3d21-4380-bbe5-b92f0ace89fb,Nariko,Josland,MAL,Syrup - Pancake,
73472016-ef4b-4e3e-a7b5-de950f7808ca,Kimball,McIlvaney,LCQ,Cheese - Camembert,$886816.24
4b654c57-5a4a-4048-b944-dc6b783545d4,Alayne,Dagworthy,CPN,"Iced Tea - Lemon, 340ml",$891411.74
8a0797aa-3d55-4958-97c7-655c049459db,Arturo,Giraux,MOJ,"Chestnuts - Whole,canned",$293808.49
8cd64a97-c685-4549-b59e-2e1878cc7af2,Haley,Cornelisse,PWM,"Nut - Hazelnut, Ground, Natural",$907664.30
d46c9868-f425-4ae5-90ce-7fc8ebe8991d,Mayne,Matonin,GWW,Sprouts - Corn,$186877.20
ad8682d7-03c7-4a9e-8123-b8cb592624c2,Alverta,Coupe,WSZ,Flower - Dish Garden,$100683.70
372e3486-6927-4884-8fbf-659003ba3fa1,Dom,Millar,HGR,Napkin - Beverage 1 Ply,$193371.78
13c3a20e-ac71-4ad9-9447-fedabf2c9949,Robinet,Caldero,WAQ,Cookie - Oatmeal,$737245.11
b314ed72-2780-45df-81db-da20c5128852,Kevan,Bartocci,UGO,"Capon - Breast, Double, Wing On",
d7ebd6ec-c446-41e4-89ce-709b27476d3f,Isabella,Cornew,RKS,Sour Cream,$257673.86
4e7015fa-2089-4160-9394-2d96494ae6a6,Caritta,Hassard,HHE,Nescafe - Frothy French Vanilla,$658092.47
7d6e3821-6edd-4b9a-9e52-403554fd3405,Hardy,Clutterbuck,THN,Marjoram - Fresh,$542147.24
d9cae07d-24b5-42a2-ad9d-f3d24244a749,Georgy,Broady,LEK,"Pasta - Fettuccine, Dry",$742032.52
aaf4538d-3273-4870-af6f-299e53380d94,Ettie,MacKay,GAR,Coffee Cup 16oz Foam,$59448.85
50454786-1852-436a-a4a1-0e9d78f7c71f,Alric,Bestwick,RZN,"Wine - Red, Mouton Cadet",$234176.87
655a4a8e-3a4c-48db-8d2a-f4443350fe22,Rosie,Reeks,BYV,Whmis Spray Bottle Graduated,$314255.72
bebff8e4-583f-454c-b618-32960b788bc7,Eada,Barneville,LPC,Soup - Campbells - Chicken Noodle,$151752.86
1f1fcf4c-43b2-4a04-aa95-8dcf84445f29,Darnell,Sarver,SOW,Ice Cream - Life Savers,$759792.70
c278a2f7-2372-4b32-a54c-443cd09b48cf,Francklyn,Hatrey,HKV,Plums - Red,$352759.02
2e18aba6-d15d-44a3-9314-e42530a5294b,Crista,Pactat,SKA,Plate Foam Laminated 9in Blk,$222353.15
bab7534f-54d6-4e5b-9e3f-6cb0efc75c8f,Nathan,Arblaster,GOV,Cheese Cloth,$173614.16
8ab2bcc3-978e-428c-82a2-06b5cc0d4566,Julie,Hatherall,GXX,Food Colouring - Pink,$607524.44
e48bc56e-c9d3-4680-9114-97842ea8a533,Bambie,Busby,SQM,Sausage - Breakfast,$395809.02
cc625563-68d2-47a6-8844-318e58df23ed,Malory,Scoffham,KTN,Bacardi Mojito,$849292.32
e86344be-8b3d-41d4-9895-d85e55721421,Maison,Coakley,NTT,V8 Pet,$551686.80
54372341-a79f-4a53-8425-f6e95786d0c6,Sarina,Uzelli,KPV,"Veal - Inside, Choice",$120293.87
2e794146-6258-4b32-aa8c-d14f3d01885a,Liane,Mordue,GLU,Chickhen - Chicken Phyllo,$712718.59
9d8a7f16-df42-49c1-a133-8698ffbe6147,Irwin,Eyrl,GHU,Chips - Doritos,$716893.54
6a2facb3-ebbe-426e-ba74-da49beb686d9,Trudy,Gritland,CJM,Nectarines,$618435.40
172eef1d-1e60-430f-a1de-349d50561757,Gloriane,Scahill,KRH,Soup - Campbells Chili,$6892.34
c17a232c-c7f1-49d3-a900-9ed2b3b8fd0e,Jannelle,Kiggel,AKJ,"Lamb - Loin, Trimmed, Boneless",$850297.09
9602cd7f-5c5a-4270-8624-b18eac785b30,Martica,Kretchmer,HBD,Sugar - Individual Portions,$247769.12
472fcebe-c5a5-4318-8ab7-cfbfc4fd0e68,Almeda,Downham,KKA,Cup - 8oz Coffee Perforated,$107998.89
936e54dc-037f-4635-8a60-a72559ed1194,Nahum,Rochester,ALQ,Water - Green Tea Refresher,$360033.56
258549b4-c6b8-48e5-bfc4-d124494fce02,Filippo,Lomasney,LIZ,"Soup - Knorr, Veg / Beef",$291166.34
209dda9b-7103-4b9a-9478-8863a9c16347,Rosalia,Ganford,AHF,"Soup - Knorr, Chicken Noodle",$433342.64
5435f369-5857-4ac8-98fb-0d24ec14c240,Kim,Busain,PTG,Trout Rainbow Whole,$588290.84
06f8011d-7682-4b09-af65-4dcd9565cf4a,Analise,Ravilus,CUR,Marzipan 50/50,$933994.37
5fc0e258-537f-4517-8484-9379143892ba,Willard,Malkin,AAN,Soup - Campbells - Chicken Noodle,$749389.08
0ea0a027-70bd-4c2d-b669-443c51b32680,Buiron,Fairlie,TYN,Aspic - Amber,$932753.44
acf7a72c-ce2d-4888-bc1e-729130c77d23,Tynan,Gimson,QEO,Cheese - Swiss,$944226.69
e6932f07-f0fc-47b2-8d04-375a12eaea9d,Daphna,Rozenzweig,BLM,Stainless Steel Cleaner Vision,$432457.99
3024c978-bd1c-436c-b86f-80a2818ff7a6,Arnold,Merrifield,SVP,Cape Capensis - Fillet,$637654.13
7fd95aa9-764c-45ce-a0f7-f6b416e863a3,Jasper,Galliford,FSP,Wine - Rubyport,$704249.07
02c572f9-8b73-4a2e-97a2-71c67a0c4e2b,Rasia,Sprey,NDM,Food Colouring - Blue,$176518.62
5c20b450-a4f7-4cef-a7a9-2fc667d21896,Filip,Slater,YOO,Plasticforkblack,$177658.27
46ea0721-5416-46de-9c4b-0c65e0e5eb90,Cariotta,Mawman,JEJ,Knife Plastic - White,$179314.01
97e41b85-8f65-41d5-9922-9370655b2aae,Nelle,Neasam,VTF,"Doilies - 12, Paper",$977254.64
3ff46595-a37e-4164-81e8-2fa7fab95c14,Gregoire,Mulmuray,UDI,Jolt Cola - Red Eye,$67647.88
e9154063-9c39-4287-ad78-3e7f6501c0d8,Roseline,McWhirter,SXM,Wine - Pinot Noir Stoneleigh,$891074.66
52b9f636-ab30-467c-aec1-92f4b7202cf8,Stanford,Dunthorn,JAU,Beef Tenderloin Aaa,$140550.22
4fcc5eff-b022-499d-972f-27b6ff20ca00,Niki,Barrowcliff,GSA,Soup - Boston Clam Chowder,$765106.69
c3ed88b1-45eb-4e4c-9129-7aae627a6203,Rachele,Benardeau,PSV,Flour - Pastry,$697537.38
5c5b787f-4514-4822-b8f2-d295d53ca3f3,Ad,Chandler,APZ,Beef - Ground Medium,$204737.62
54c0eb0d-b6a3-4792-b928-d3b79d01971e,Eugenio,Matusson,GNV,"Nut - Chestnuts, Whole",$531496.83
760ce710-8d29-4a18-b946-6cda08aad832,Marion,Mepham,GDD,Tofu - Firm,$602905.94
b0fc247f-ece7-4a91-a033-c3346bf7bda2,Anselma,Speere,LCN,Fruit Salad Deluxe,$429703.37
088a9002-547c-4bd9-b00f-cac569082a59,Florence,Yerill,OGU,Ginger - Ground,$134197.12
a4041dbd-c7d1-414c-a4ec-cf6838261211,Krissy,Nattrass,ICI,Avocado,$481572.92
0028ae02-39ef-4e91-934d-7f0675444443,Trixi,Blackly,MFV,"Pasta - Rotini, Colour, Dry",$594264.05
9e8d6172-a563-47f4-a743-81b9d4dbd8d3,Mikael,Walaron,LLM,Anchovy In Oil,$356312.03
c8aadb31-9194-48c8-a98e-3512f44b2a56,Eadie,Dunphy,RMG,Muskox - French Rack,$471768.21
a64274e3-4314-442a-9d79-b0a2c322eb43,Madeline,O' Bee,ASS,Chicken Thigh - Bone Out,$12051.67
6427f602-0566-44a3-a4ff-54707df7214b,Brooke,Penney,TNT,Cheese - Marble,$945388.50
746219ff-0340-4ced-ad70-140b80b89a2b,Remington,Minto,YSO,Molasses - Fancy,$977019.51
cc16737c-c8ca-456b-8395-9f0112b60f8a,Manda,Spurrior,SDV,Wine - Casillero Deldiablo,$919987.82
5b4cdcf2-8c66-4ba6-bb59-efa1079e4f32,Butch,Brandone,KVL,Curry Powder Madras,$12312.41
33ab4abd-7eda-4d18-87c3-55a85b692c03,Prent,Schall,BUZ,Appetizer - Asian Shrimp Roll,$320783.03
a00741f5-a044-451b-85fd-2cb6753876a3,Seamus,Skirving,IDK,Wine - Ej Gallo Sierra Valley,$429352.18
c69ab971-8b99-44e7-af22-75a21812284e,Tymothy,Sollitt,NIG,Salt - Kosher,$539075.37
0c23c6c2-895c-4920-b66c-9b6bedfce6c7,Rennie,Tomasoni,TDP,"Beef - Outside, Round",$878109.73
4ae2977a-d784-43aa-bf98-d504434f984b,Augustine,Kemell,TEG,Muffin Mix - Lemon Cranberry,$720129.89
3cb8425e-adf6-456f-adb8-be6b725eb5f8,Gabbie,Sabater,DAA,Mcguinness - Blue Curacao,$258555.15
8b7e77f3-03b6-4941-bfa4-774b0cba595f,Guido,Raitie,PYX,Turkey - Ground. Lean,$756281.98
f7e54829-8efe-4cf4-9ebe-0c1587753b18,Freeman,Zeal,ORW,Sobe - Tropical Energy,$519855.24
88df52ac-d45f-4d6c-ba61-46ea2e2c2c80,Arlina,Waudby,KGY,"Fish - Scallops, Cold Smoked",$473591.85
30cf509d-d1bc-4d7c-8fea-848fb752d2a4,Alexine,Bartomieu,PRD,Tamarillo,$663752.41
fa759ec0-4c71-46f1-8e99-9cd1dde718db,Kerri,Heddan,JIC,Buffalo - Tenderloin,$720614.83
8beed787-a439-46c1-8ce3-d40ffe9a1c13,Kahaleel,Bassom,TCL,"Bread - Roll, Italian",$103307.53
a63e8c28-9c83-4af5-8f47-71925643c42a,Linnet,Ridolfi,FRW,Table Cloth 62x120 White,$143512.97
db751daa-145c-4420-8953-5912ca87e01a,Lucila,Collomosse,VCE,"Placemat - Scallop, White",$329552.08
5b4ce4f4-17c3-47dd-ba59-266c8f8c67bb,Lara,Keneford,LCQ,Sugar - Crumb,$993280.59
afc87b7f-7130-4f1e-9cc6-ca3beeae50cf,Gretal,Sabbin,UKR,"Pasta - Canelloni, Single Serve",$925835.04
637fd5b4-ac12-43bb-8a37-49d133a67535,Skylar,O'Kielt,SFX,"Star Anise, Whole",$39647.29
627286a9-afd3-402a-b717-2c964cc80b71,Teresina,A'field,FWA,Tomatoes - Orange,$366022.27
2723fcde-9cc5-440d-bb1a-22d6ac4f3245,Tricia,Kadwallider,LPM,Coffee - French Vanilla Frothy,$530058.40
5beead6b-e9f6-44ee-98f6-95e4ae135e59,Elfrieda,Filyushkin,SBF,Alize Red Passion,$68067.73
